Time	 WildTypeCellMutationState	 ApcOneHitCellMutationState	 ApcTwoHitCellMutationState	 BetaCateninOneHitCellMutationState	 
372.5	62	0	0	0	
373.333	64	0	0	0	
374.167	66	0	0	0	
375	66	0	0	0	
375.833	64	0	0	0	
376.667	63	0	0	0	
377.5	62	0	0	0	
378.333	62	0	0	0	
379.167	59	0	0	0	
380	58	0	0	0	
380.833	57	0	0	0	
381.667	57	0	0	0	
382.5	56	0	0	0	
383.333	57	0	0	0	
384.167	56	0	0	0	
385	60	0	0	0	
385.833	61	0	0	0	
386.667	63	0	0	0	
387.5	64	0	0	0	
388.333	66	0	0	0	
389.167	66	0	0	0	
390	68	0	0	0	
390.833	65	0	0	0	
391.667	63	0	0	0	
392.5	62	0	0	0	
393.333	63	0	0	0	
394.167	62	0	0	0	
395	61	0	0	0	
395.833	60	0	0	0	
396.667	59	0	0	0	
397.5	59	0	0	0	
398.333	59	0	0	0	
399.167	58	0	0	0	
400	58	0	0	0	
